s_no,sat_Name,Discipline,Launch_mass,Launch_date,Launch_vehicle,Launch_site,Periapsis_km,Apoapsis_km,Period_in_minutes,Success
26,IRS-P3,Astronomy Earth Sciences,930.0,1996-03-21,PSLV-D3,Satish Dhawan Space Centre Sriharikota,820.9,827.1,101.2,Pass
27,INSAT-2D,Communications,2079.0,1997-06-04,Ariane-44L H10-3,Centre Spatial Guyanais Kourou,33225.6,35917.5,1374.1,Pass
28,IRS-1D,Earth Sciences,920.0,1997-09-29,PSLV-C1,Satish Dhawan Space Centre Sriharikota,748.6,823.3,100.4,Pass
29,INSAT-2E,Communications Earth Sciences,2550.0,1999-04-02,Ariane-42P H10-3,Centre Spatial Guyanais Kourou,35932.1,36003.3,1445.0,Pass
30,OceanSat-1,Earth Sciences,1050.0,1999-05-26,PSLV-C2,Satish Dhawan Space Centre Sriharikota,723.9,726.3,99.1,Pass
31,INSAT-3B,Communications,2070.0,2000-03-22,Ariane-5G,Centre Spatial Guyanais Kourou,35949.3,35985.9,1445.0,Pass
32,GSAT-1,Communications Engineering,1530.0,2001-04-18,GSLV-D1,Satish Dhawan Space Centre Sriharikota,33853.1,35800.5,1387.0,Pass
33,TES,Earth Sciences,1108.0,2001-10-22,PSLV-C3,Satish Dhawan Space Centre Sriharikota,514.6,570.2,95.3,Pass
34,INSAT-3C,Communications,2750.0,2002-01-24,Ariane-42L H10-3,Centre Spatial Guyanais Kourou,35786.9,35800.6,1436.1,Pass
35,Kalpana-1,Earth Sciences,1060.0,2002-09-12,PSLV-C4,Satish Dhawan Space Centre Sriharikota,35741.2,35845.9,1436.1,Pass
36,INSAT-3A,Communications Earth Sciences,2950.0,2003-04-10,Ariane-5G,Centre Spatial Guyanais Kourou,35874.2,35980.2,1442.9,Pass
37,GSAT-2,Communications,1900.0,2003-05-08,GSLV-D2,Satish Dhawan Space Centre Sriharikota,35892.6,35936.5,1442.3,Pass
38,INSAT-3E,Communications,2775.0,2003-09-28,Ariane-5G,Centre Spatial Guyanais Kourou,35576.4,35716.3,1428.6,Pass
39,ResourceSat-1,Earth Sciences,1360.0,2003-10-17,PSLV-C5,Satish Dhawan Space Centre Sriharikota,824.2,829.5,101.3,Pass
40,GSAT-3,Communications,1950.5,2004-09-20,GSLV-F01,Satish Dhawan Space Centre Sriharikota,36071.1,36084.4,1450.6,Pass
41,CartoSat-1,Earth Sciences,1560.0,2005-05-05,PSLV-C6,Satish Dhawan Space Centre Sriharikota,623.2,627.9,97.1,Pass
42,HamSat,Communications,42.5,2005-05-05,PSLV-C6,Satish Dhawan Space Centre Sriharikota,592.0,626.4,96.7,Pass
43,INSAT-4A,Communications,3081.0,2005-12-22,Ariane-5GS,Centre Spatial Guyanais Kourou,35789.7,35798.7,1436.1,Pass
44,INSAT-4C,Communications,2180.0,2006-07-10,GSLV-F02,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Fail
45,CartoSat-2,Earth Sciences,680.0,2007-01-10,PSLV-C7,Satish Dhawan Space Centre Sriharikota,639.1,642.2,97.4,Pass
46,SRE-1,Engineering,615.0,2007-01-10,PSLV-C7,Satish Dhawan Space Centre Sriharikota,486.0,643.0,95.9,Pass
47,INSAT-4B,Communications,3025.0,2007-03-12,Ariane-5ECA,Centre Spatial Guyanais kourou,35761.1,35827.1,1436.1,Pass
48,PS4-AAM,Avionics,185.0,2007-04-23,PSLV-C8,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
49,INSAT-4CR,Communications,2130.0,2007-09-02,GSLV-F04,Satish Dhawan Space Centre Sriharikota,35780.2,35806.9,1436.1,Pass
50,CartoSat-2A,Earth Sciences,690.0,2008-04-28,PSLV-C9,Satish Dhawan Space Centre Sriharikota,632.0,649.2,97.4,Pass
51,IMS-1,Earth Sciences,83.0,2008-04-28,PSLV-C9,Satish Dhawan Space Centre Sriharikota,614.0,629.4,97.0,Pass
52,Chandrayaan-1,Planetary Sciences,1380.0,2008-10-22,PSLV-C11,Satish Dhawan Space Centre Sriharikota,100.0,100.0,0.0,Pass
53,RISAT-2,Earth Sciences,300.0,2009-04-20,PSLV-C12,Satish Dhawan Space Centre Sriharikota,470.6,478.5,93.9,Pass
