id,name,decipiline,launch date,launch time,launch site,launch status
49,CartoSat-2A,Earth Sciences,28-Apr-08,9:24:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
50,"IMS-1 (Indian Mini-Satellite-1 or,
(Third World
Satellite  TWSat)",Earth Sciences,28-Apr-08,9:24:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
51,Chandrayaan-1,Planetary Sciences,22-Oct-08,6:22:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
52,RISAT-2,Earth Sciences,20-Apr-09,6:45:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
53,AnuSat-1,Communications,20-Apr-09,6:45:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
54,OceanSat-2,Earth Sciences,23-Sep-09,11:51:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
55,GSAT-4,Communications,15-Apr-10,,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",0
56,CartoSat-2B,Earth Sciences,12-Jul-10,9:22:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
57,StudSat (STUDent SATellite),Earth Sciences,12-Jul-10,9:22:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
58,GSAT-5P (INSAT-4D),Communications,25-Dec-10,,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",0
59,ResourceSat-2,"Earth Sciences,Technology Applications",20-Apr-11,10:12:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
60,YouthSat (IMS-2),"Solar Physics,Space Physics",20-Apr-11,10:12:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
61,"GSAT-8 (GramSat-8, or INSAT-4G)",Communications,21-May-11,2:08:00 IST,"Centre Spatial Guyanais, Kourou",1
62,GSAT-12 (GramSat-12),Communications,15-Jul-11,16:48:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
63,Megha-Tropiques,Meteorological,12-Oct-11,11:00:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
64,Jugnu,"Earth Sciences,Technology Applications",12-Oct-11,11:00:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
65,SRMSat,"Earth Sciences,Technology Applications",12-Oct-11,11:00:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
66,RISAT-1,Earth Sciences,26-Apr-12,5:47:00 IST,,1
67,GSAT-10,Communications,28-Sep-12,2:48:00 IST,"Centre Spatial Guyanais, Kourou",1
68,SARAL,Earth Sciences,25-Feb-13,18:01:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
69,IRNSS-1A,Navigation/Global Positioning,01-Jul-13,23:41:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
70,INSAT-3D,Earth Sciences,26-Jul-13,1:23:00 IST,"Centre Spatial Guyanais, Kourou",1
71,GSAT-7 (INSAT-4F),Communications,30-Aug-13,2:00:00 IST,,1
72,Mars Orbiter Mission (MOM) (Mangalyaan-1),Planetary Science,05-Nov-13,14:38:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
73,GSAT-14,Communications,05-Jan-14,16:18:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
74,IRNSS-1B,Navigation/Global Positioning,04-Apr-14,17:14:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
75,IRNSS-1C,Navigation/Global Positioning,16-Oct-14,,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
76,GSAT-16,Communications,07-Dec-14,2:10:00 IST,"Centre Spatial Guyanais, Kourou",1
77,IRNSS-1D,Navigation/Global Positioning,28-Mar-15,17:19:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
78,GSAT-6 (INSAT-4E),Communications,27-Aug-15,16:52:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
79,Astrosat,Space Sciences,28-Sep-15,,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
80,GSAT-15,Communications,11-Nov-15,3:04:00 IST,"Centre Spatial Guyanais, Kourou",1
81,IRNSS-1E,Navigation/Global Positioning,20-Jan-16,9:31:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
